Linked article,Linked article,Day,Sales quantity,Sales value gross,Sales value net,,
381903,Milk Chocolate Digestives,11/08/2022,"44,008","24,204.23 GBP","20,170.19 GBP",,
381903,Milk Chocolate Digestives,12/08/2022,"48,351","26,593.05 GBP","22,160.88 GBP",,
381903,Milk Chocolate Digestives,13/08/2022,"44,916","24,703.46 GBP","20,586.22 GBP",,
381903,Milk Chocolate Digestives,14/08/2022,"31,686","17,427.13 GBP","14,522.61 GBP",,
381903,Milk Chocolate Digestives,15/08/2022,"58,561","32,207.34 GBP","26,839.45 GBP",,
381903,Milk Chocolate Digestives,16/08/2022,"50,060","27,532.83 GBP","22,944.02 GBP",,
381903,Milk Chocolate Digestives,17/08/2022,"46,462","25,553.93 GBP","21,294.94 GBP",,
381903,Milk Chocolate Digestives,18/08/2022,"53,741","29,557.21 GBP","24,631.01 GBP",,
381903,Milk Chocolate Digestives,19/08/2022,"63,517","34,934.27 GBP","29,111.89 GBP",,
381903,Milk Chocolate Digestives,20/08/2022,"62,087","34,147.43 GBP","28,456.19 GBP",,
381903,Milk Chocolate Digestives,21/08/2022,"43,606","23,983.13 GBP","19,985.94 GBP",,
381903,Milk Chocolate Digestives,22/08/2022,"61,873","34,029.73 GBP","28,358.11 GBP",,
381903,Milk Chocolate Digestives,23/08/2022,"51,664","28,414.47 GBP","23,678.73 GBP",,
381903,Milk Chocolate Digestives,24/08/2022,"47,926","26,358.79 GBP","21,965.66 GBP",,
381903,Milk Chocolate Digestives,25/08/2022,"57,696","31,732.18 GBP","26,443.48 GBP",,
381903,Milk Chocolate Digestives,26/08/2022,"69,926","38,458.96 GBP","32,049.13 GBP",,
381903,Milk Chocolate Digestives,27/08/2022,"62,513","34,381.61 GBP","28,651.34 GBP",,
381903,Milk Chocolate Digestives,28/08/2022,"38,517","21,184.10 GBP","17,653.42 GBP",,
381903,Milk Chocolate Digestives,29/08/2022,"52,598","28,928.23 GBP","24,106.86 GBP",,
381903,Milk Chocolate Digestives,30/08/2022,"58,412","32,126.43 GBP","26,772.03 GBP",,
381903,Milk Chocolate Digestives,31/08/2022,"55,067","30,286.60 GBP","25,238.83 GBP",,
381903,Milk Chocolate Digestives,01/09/2022,"56,558","31,106.14 GBP","25,921.78 GBP",,
381903,Milk Chocolate Digestives,02/09/2022,"66,084","36,344.87 GBP","30,287.39 GBP",,
381903,Milk Chocolate Digestives,03/09/2022,"68,143","37,478.31 GBP","31,231.93 GBP",,
381903,Milk Chocolate Digestives,04/09/2022,"49,796","27,387.80 GBP","22,823.17 GBP",,
381903,Milk Chocolate Digestives,05/09/2022,"62,618","34,439.03 GBP","28,699.19 GBP",,
381903,Milk Chocolate Digestives,06/09/2022,"51,197","28,157.11 GBP","23,464.26 GBP",,
381903,Milk Chocolate Digestives,07/09/2022,"48,959","26,923.45 GBP","22,436.21 GBP",,
381903,Milk Chocolate Digestives,08/09/2022,"56,119","30,864.03 GBP","25,720.03 GBP",,
381903,Milk Chocolate Digestives,09/09/2022,"65,854","36,216.28 GBP","30,180.23 GBP",,
381903,Milk Chocolate Digestives,10/09/2022,"64,106","35,258.12 GBP","29,381.77 GBP",,
381903,Milk Chocolate Digestives,11/09/2022,"45,443","24,993.09 GBP","20,827.58 GBP",,
381903,Milk Chocolate Digestives,12/09/2022,"53,337","29,335.05 GBP","24,445.88 GBP",,
381903,Milk Chocolate Digestives,13/09/2022,"44,042","24,222.69 GBP","20,185.58 GBP",,
381903,Milk Chocolate Digestives,14/09/2022,"43,703","24,036.01 GBP","20,030.01 GBP",,
381903,Milk Chocolate Digestives,15/09/2022,"62,031","34,116.86 GBP","28,430.72 GBP",,
381903,Milk Chocolate Digestives,16/09/2022,"75,705","41,637.30 GBP","34,697.75 GBP",,
381903,Milk Chocolate Digestives,17/09/2022,"72,999","40,147.59 GBP","33,456.32 GBP",,
381903,Milk Chocolate Digestives,18/09/2022,"59,028","32,461.66 GBP","27,051.38 GBP",,
381903,Milk Chocolate Digestives,19/09/2022,1,0.55 GBP,0.46 GBP,,
381903,Milk Chocolate Digestives,20/09/2022,"73,882","40,633.72 GBP","33,861.43 GBP",,
381903,Milk Chocolate Digestives,21/09/2022,"52,128","28,669.20 GBP","23,891.00 GBP",,
381903,Milk Chocolate Digestives,22/09/2022,"67,321","37,024.44 GBP","30,853.70 GBP",,
381903,Milk Chocolate Digestives,23/09/2022,"83,512","45,926.33 GBP","38,271.94 GBP",,
381903,Milk Chocolate Digestives,24/09/2022,"79,684","43,818.91 GBP","36,515.76 GBP",,
381903,Milk Chocolate Digestives,25/09/2022,"55,655","30,605.45 GBP","25,504.54 GBP",,
381903,Milk Chocolate Digestives,26/09/2022,"69,574","38,262.68 GBP","31,885.57 GBP",,
381903,Milk Chocolate Digestives,27/09/2022,"63,163","34,737.77 GBP","28,948.14 GBP",,
381903,Milk Chocolate Digestives,28/09/2022,"60,941","33,516.80 GBP","27,930.67 GBP",,
381903,Milk Chocolate Digestives,29/09/2022,"67,919","37,354.95 GBP","31,129.12 GBP",,
381903,Milk Chocolate Digestives,30/09/2022,"83,924","46,157.93 GBP","38,464.94 GBP",,
381903,Milk Chocolate Digestives,01/10/2022,"86,786","47,731.15 GBP","39,775.96 GBP",,
381903,Milk Chocolate Digestives,02/10/2022,"58,696","32,282.00 GBP","26,901.67 GBP",,
381903,Milk Chocolate Digestives,03/10/2022,"70,348","38,690.86 GBP","32,242.38 GBP",,
381903,Milk Chocolate Digestives,04/10/2022,"58,720","32,295.58 GBP","26,912.98 GBP",,
381903,Milk Chocolate Digestives,05/10/2022,"58,575","32,215.79 GBP","26,846.49 GBP",,
381903,Milk Chocolate Digestives,06/10/2022,"65,736","36,153.44 GBP","30,127.87 GBP",,
